rn_number,permit_number,publish_date,relative_file_location
RN100837400,22313,8-19-1993,data/MAERT/RN100837400_22313_8-19-1993_1712879243.pdf
RN102506250,47881,12-31-2002,data/MAERT/RN102506250_47881_12-31-2002_1713096214.pdf
RN100221662,4682B,7-6-2001,data/MAERT/RN100221662_4682B_7-6-2001_1712756551.pdf
RN104348339,77623,11-16-2012,data/MAERT/RN104348339_77623_11-16-2012_1713068054.pdf
RN102191681,24060,8-26-2015,data/MAERT/RN102191681_24060_8-26-2015_1714032573.pdf
RN100216092,43965,12-31-2002,data/MAERT/RN100216092_43965_12-31-2002_1712662298.pdf
RN101946473,24668,7-14-2006,data/MAERT/RN101946473_24668_7-14-2006_1713285144.pdf
RN102881588,20173,9-20-2013,data/MAERT/RN102881588_20173_9-20-2013_1712669369.pdf
RN100213909,456,11-4-1993,data/MAERT/RN100213909_456_11-4-1993_1711143609.pdf
RN102168614,5948,1-11-1995,data/MAERT/RN102168614_5948_1-11-1995_1712510540.pdf
RN101893246,87643,6-1-2009,data/MAERT/RN101893246_87643_6-1-2009_1712232064.pdf
RN104606587,75930L001,9-4-2018,data/MAERT/RN104606587_75930L001_9-4-2018_1712316454.pdf
RN103064093,9680,9-13-2004,data/MAERT/RN103064093_9680_9-13-2004_1711285913.pdf
RN100210517,9708,10-1-2004,data/MAERT/RN100210517_9708_10-1-2004_1712994850.pdf
RN100837673,48658,10-4-2002,data/MAERT/RN100837673_48658_10-4-2002_1712879130.pdf
RN102540960,7537,7-19-2002,data/MAERT/RN102540960_7537_7-19-2002_1711987848.pdf
RN100249614,48649,8-21-2002,data/MAERT/RN100249614_48649_8-21-2002_1712441374.pdf
RN102536307,1176,7-29-2008,data/MAERT/RN102536307_1176_7-29-2008_1713309544.pdf
RN100215441,2613,12-3-1993,data/MAERT/RN100215441_2613_12-3-1993_1712458580.pdf
RN101625721,18049,11-21-2023,data/MAERT/RN101625721_18049_11-21-2023_1712117799.pdf
RN102561925,22110,4-11-2006,data/MAERT/RN102561925_22110_4-11-2006_1712553804.pdf
RN102323268,5581,1-25-1994,data/MAERT/RN102323268_5581_1-25-1994_1713501474.pdf
RN100216472,PSDTX138M6,1-14-2022,data/MAERT/RN100216472_PSDTX138M6_1-14-2022_1713247259.pdf
RN102926920,6257F,9-22-2019,data/MAERT/RN102926920_6257F_9-22-2019_1711360596.pdf
RN103060380,74335,10-3-2008,data/MAERT/RN103060380_74335_10-3-2008_1713078491.pdf
RN102593605,22432,2-28-1994,data/MAERT/RN102593605_22432_2-28-1994_1711988699.pdf
RN101198059,56447,9-25-2015,data/MAERT/RN101198059_56447_9-25-2015_1712126589.pdf
RN101979375,24285,9-28-1994,data/MAERT/RN101979375_24285_9-28-1994_1712983401.pdf
RN103059010,149231,7-10-2023,data/MAERT/RN103059010_149231_7-10-2023_1713267115.pdf
RN101942290,73076,5-26-2005,data/MAERT/RN101942290_73076_5-26-2005_1713065953.pdf
